# 形式: name|id|competitor|owner/repo|official_url|category|description_ja
# 開発・デプロイ・インフラ
Gogs|gogs|GitHub|gogs/gogs|https://gogs.io|devtools|軽量なGitホスティング。1つのバイナリで動作し、資源の少ないサーバでも動く。
Forgejo|forgejo|GitHub|forgejo/forgejo|https://forgejo.org|devtools|Giteaから分岐したGitホスティング。コミュニティ主導で開発される。
OneDev|onedev|GitHub|theonedev/onedev|https://onedev.io|devtools|GitホスティングとCIを1つにした基盤。コード検索が強力。
GitLab|gitlab|GitHub|gitlab-org/gitlab|https://about.gitlab.com|devtools|課題管理からCI/CDまでを1つにまとめる。オンプレ版がある。
Dokploy|dokploy|Vercel|Dokploy/dokploy|https://dokploy.com|devtools|Paas風のデプロイ基盤を自前で持つ。DockerとGitから配備できる。
CapRover|caprover|Heroku|caprover/caprover|https://caprover.com|devtools|数クリックでアプリを配備する。管理画面つきのPaaS。
Dokku|dokku|Heroku|dokku/dokku|https://dokku.com|devtools|Git pushでアプリを配備する。小さなVPSでも動く。
Kamal|kamal|Heroku|basecamp/kamal|https://kamal-deploy.org|devtools|コンテナをそのままサーバへ配備する。構成が単純で見通しがよい。
Woodpecker CI|woodpecker|CircleCI|woodpecker-ci/woodpecker|https://woodpecker-ci.org|devtools|軽量なCI。パイプラインをYAMLで定義する。
Drone|drone|CircleCI|harness/drone|https://www.drone.io|devtools|コンテナ前提のCI/CD。リポジトリ単位で設定する。
Jenkins|jenkins|CircleCI|jenkinsci/jenkins|https://www.jenkins.io|devtools|老舗のCI。プラグインでほぼ何でもできる。
Argo CD|argo-cd|CircleCI|argoproj/argo-cd|https://argo-cd.readthedocs.io|devtools|Gitの状態をKubernetesへ反映し続ける。宣言的な配備に向く。
Tekton|tekton|CircleCI|tektoncd/pipeline|https://tekton.dev|devtools|Kubernetes上でCI/CDを組む。部品を組み合わせて作る。
Appwrite|appwrite|Firebase|appwrite/appwrite|https://appwrite.io|devtools|認証・DB・ストレージ・関数をまとめたバックエンド基盤。
PocketBase|pocketbase|Firebase|pocketbase/pocketbase|https://pocketbase.io|devtools|1つのバイナリで完結するバックエンド。管理画面が付属する。
Nhost|nhost|Firebase|nhost/nhost|https://nhost.io|devtools|PostgreSQLとGraphQLを軸にしたバックエンド基盤。
Parse Platform|parse|Firebase|parse-community/parse-server|https://parseplatform.org|devtools|モバイルアプリ向けのバックエンド。SDKが各言語に揃う。
Bruno|bruno|Postman|usebruno/bruno|https://www.usebruno.com|devtools|APIのリクエストをファイルで管理する。クラウドに依存しない。
Insomnia|insomnia|Postman|Kong/insomnia|https://insomnia.rest|devtools|APIの設計と検証を行う。GraphQLにも対応する。
Kong|kong|AWS API Gateway|Kong/kong|https://konghq.com|devtools|APIゲートウェイの定番。プラグインで機能を足せる。
Traefik|traefik|AWS API Gateway|traefik/traefik|https://traefik.io|devtools|コンテナを検知して自動で経路を設定するリバースプロキシ。
Apache APISIX|apisix|AWS API Gateway|apache/apisix|https://apisix.apache.org|devtools|高性能なAPIゲートウェイ。動的な設定変更ができる。
Meilisearch|meilisearch|Algolia|meilisearch/meilisearch|https://www.meilisearch.com|devtools|日本語も扱える全文検索。導入が軽く、誤入力に強い。
