# 形式: name|id|competitor|owner/repo|official_url|category|description_ja
# ノート・ドキュメント / メモ（Evernote・Obsidian・Notion系）
Joplin|joplin|Evernote|laurent22/joplin|https://joplinapp.org|note-docs|端末間で同期できるメモアプリ。同期サーバを自前で置けるため、内容を外部サービスに預けずに使える。
Logseq|logseq|Obsidian|logseq/logseq|https://logseq.com|note-docs|アウトライナー形式のノート。データはローカルのMarkdownファイルとして残る。
Trilium|trilium|Obsidian|TriliumNext/Trilium|https://trilium.rocks|note-docs|階層構造で知識を積み上げる個人向けノート。自前の同期サーバを置ける。
SiYuan|siyuan|Notion|siyuan-note/siyuan|https://b3log.org/siyuan|note-docs|ブロック単位で編集するノート。ローカル動作とDockerでのセルフホストに対応。
Memos|memos|Flomo|usememos/memos|https://www.usememos.com|note-docs|思いつきを素早く残す軽量メモ。Dockerで数分で立ち上がる。
BookStack|bookstack|Confluence|BookStackApp/BookStack|https://www.bookstackapp.com|note-docs|書籍のような階層でマニュアルを作るWiki。社内手順書の置き場に向く。
Wiki.js|wikijs|Confluence|requarks/wiki|https://js.wiki|note-docs|Markdownで書けるWiki。細かい権限設定と多言語対応を備える。
MediaWiki|mediawiki|Confluence|wikimedia/mediawiki|https://www.mediawiki.org|note-docs|Wikipediaと同じエンジン。大規模な文書基盤を自前で運用できる。
Anytype|anytype|Notion|anyproto/anytype-ts|https://anytype.io|note-docs|ローカル優先のノート。データは端末に保存され、端末間で同期される。
HedgeDoc|hedgedoc|Google Docs|hedgedoc/hedgedoc|https://hedgedoc.org|note-docs|Markdownで共同編集できるメモ。URLを共有するだけで同時編集できる。
Etherpad|etherpad|Google Docs|ether/etherpad-lite|https://etherpad.org|note-docs|動作の軽い共同編集エディタ。会議中の議事録に使いやすい。
CryptPad|cryptpad|Google Docs|cryptpad/cryptpad|https://cryptpad.fr|note-docs|文書・表計算・スライドを暗号化したまま共同編集する。サーバ側でも中身を読めない。
Notesnook|notesnook|Evernote|streetwriters/notesnook|https://notesnook.com|note-docs|暗号化を前提としたノート。同期サーバを自前で立てられる。
Standard Notes|standard-notes|Evernote|standardnotes/app|https://standardnotes.com|note-docs|長期保存を重視したメモ。内容を平文のテキストとして取り出せる。
SilverBullet|silverbullet|Obsidian|silverbulletmd/silverbullet|https://silverbullet.md|note-docs|Markdownをそのままデータベースとして扱うノート。ブラウザから使う。
# オフィス・グループウェア・統合業務
ONLYOFFICE|onlyoffice|Microsoft 365|ONLYOFFICE/DocumentServer|https://www.onlyoffice.com|office|Word・Excel・PowerPoint互換の編集をブラウザで提供。Nextcloudと連携できる。
Collabora Online|collabora-online|Microsoft 365|CollaboraOnline/online|https://www.collaboraonline.com|office|LibreOfficeをサーバ側で動かし、ブラウザ上で共同編集する。
Odoo|odoo|Salesforce|odoo/odoo|https://www.odoo.com|office|CRM・会計・在庫・製造・人事を1つにまとめた業務基盤。使う機能だけ導入できる。
ERPNext|erpnext|Salesforce|frappe/erpnext|https://frappe.io/erpnext|office|会計・在庫・製造・人事を統合したERP。日本語の翻訳も用意されている。
Radicale|radicale|Google Calendar|Kozea/Radicale|https://radicale.org|office|CalDAV/CardDAVの軽量サーバ。スマホ標準のカレンダー・連絡先から接続できる。
Baikal|baikal|Google Calendar|sabre-io/Baikal|https://sabre.io/baikal|office|カレンダーと連絡先の同期サーバ。既存のメールサーバに足せる。
# チャット・コミュニケーション
Zulip|zulip|Slack|zulip/zulip|https://zulip.com|communication|話題ごとにスレッドが分かれるチャット。会話が流れず、非同期の議論に向く。
Element|element|Slack|element-hq/element-web|https://element.io|communication|Matrixプロトコルのチャットクライアント。自前サーバ同士を連携できる。
Synapse|synapse|Slack|element-hq/synapse|https://element.io|communication|Matrixのサーバ実装。社内チャット基盤の中核になる。
Revolt|revolt|Discord|revoltchat/revite|https://revolt.chat|communication|Discordに近い操作感のチャット。サーバを自前で立てられる。
